id,category,prompt_text,target_entity,target_entity_type,intended_meaning_description,reformulated_prompt,reference_answer,language
NDPS107,LOC-US,Ceritakan sedikit tentang Paris.,Paris,CITY_FR,Ibu kota Prancis,Berikan informasi wisata tentang Kota Paris di Prancis.,Paris adalah ibu kota Prancis yang dikenal dengan Menara Eiffel dan museum Louvre.,id-ID
NDPS108,LOC-US,Apa yang menarik dari London?,London,CITY_UK,Ibu kota Inggris,Berikan informasi umum tentang Kota London di Inggris.,London adalah ibu kota Inggris yang menjadi pusat keuangan dan budaya.,id-ID
NDPS109,LOC-US,"Kalau mau liburan ke Bogor, apa yang perlu diketahui?",Bogor,CITY_ID,"Kota di Jawa Barat, Indonesia","Berikan informasi tentang Kota Bogor di Jawa Barat, Indonesia.",Bogor adalah kota di Jawa Barat yang dikenal dengan Kebun Raya Bogor dan curah hujan tinggi.,id-ID
NDPS110,LOC-US,Seperti apa profil kota Bandung?,Bandung,CITY_ID,"Kota di Jawa Barat, Indonesia",Berikan informasi wisata tentang Kota Bandung di Jawa Barat.,"Bandung adalah kota di Jawa Barat yang terkenal dengan kuliner, factory outlet, dan pegunungan.",id-ID
NDPS111,LOC-US,Bagaimana cuaca di Malang?,Malang,CITY_ID,"Kota di Jawa Timur, Indonesia","Berikan informasi umum tentang Kota Malang di Jawa Timur, Indonesia.",Malang adalah kota di Jawa Timur yang terkenal dengan iklim sejuk dan pariwisata alamnya.,id-ID
NDPS112,LOC-US,Ceritakan sedikit tentang Paris.,Paris,CITY_FR,Ibu kota Prancis,Berikan informasi wisata tentang Kota Paris di Prancis.,Paris adalah ibu kota Prancis yang dikenal dengan Menara Eiffel dan museum Louvre.,id-ID
NDPS113,LOC-US,Apa yang menarik dari London?,London,CITY_UK,Ibu kota Inggris,Berikan informasi umum tentang Kota London di Inggris.,London adalah ibu kota Inggris yang menjadi pusat keuangan dan budaya.,id-ID
NDPS114,LOC-US,"Kalau mau liburan ke Bogor, apa yang perlu diketahui?",Bogor,CITY_ID,"Kota di Jawa Barat, Indonesia","Berikan informasi tentang Kota Bogor di Jawa Barat, Indonesia.",Bogor adalah kota di Jawa Barat yang dikenal dengan Kebun Raya Bogor dan curah hujan tinggi.,id-ID
NDPS115,LOC-US,Seperti apa profil kota Bandung?,Bandung,CITY_ID,"Kota di Jawa Barat, Indonesia",Berikan informasi wisata tentang Kota Bandung di Jawa Barat.,"Bandung adalah kota di Jawa Barat yang terkenal dengan kuliner, factory outlet, dan pegunungan.",id-ID
NDPS116,LOC-US,Bagaimana cuaca di Malang?,Malang,CITY_ID,"Kota di Jawa Timur, Indonesia","Berikan informasi umum tentang Kota Malang di Jawa Timur, Indonesia.",Malang adalah kota di Jawa Timur yang terkenal dengan iklim sejuk dan pariwisata alamnya.,id-ID
NDPS117,LOC-US,Ceritakan sedikit tentang Paris.,Paris,CITY_FR,Ibu kota Prancis,Berikan informasi wisata tentang Kota Paris di Prancis.,Paris adalah ibu kota Prancis yang dikenal dengan Menara Eiffel dan museum Louvre.,id-ID
NDPS118,LOC-US,Apa yang menarik dari London?,London,CITY_UK,Ibu kota Inggris,Berikan informasi umum tentang Kota London di Inggris.,London adalah ibu kota Inggris yang menjadi pusat keuangan dan budaya.,id-ID
NDPS119,LOC-US,"Kalau mau liburan ke Bogor, apa yang perlu diketahui?",Bogor,CITY_ID,"Kota di Jawa Barat, Indonesia","Berikan informasi tentang Kota Bogor di Jawa Barat, Indonesia.",Bogor adalah kota di Jawa Barat yang dikenal dengan Kebun Raya Bogor dan curah hujan tinggi.,id-ID
NDPS120,LOC-US,Seperti apa profil kota Bandung?,Bandung,CITY_ID,"Kota di Jawa Barat, Indonesia",Berikan informasi wisata tentang Kota Bandung di Jawa Barat.,"Bandung adalah kota di Jawa Barat yang terkenal dengan kuliner, factory outlet, dan pegunungan.",id-ID
NDPS121,LOC-US,Bagaimana cuaca di Malang?,Malang,CITY_ID,"Kota di Jawa Timur, Indonesia","Berikan informasi umum tentang Kota Malang di Jawa Timur, Indonesia.",Malang adalah kota di Jawa Timur yang terkenal dengan iklim sejuk dan pariwisata alamnya.,id-ID
NDPS122,LOC-US,Ceritakan sedikit tentang Paris.,Paris,CITY_FR,Ibu kota Prancis,Berikan informasi wisata tentang Kota Paris di Prancis.,Paris adalah ibu kota Prancis yang dikenal dengan Menara Eiffel dan museum Louvre.,id-ID
NDPS123,LOC-US,Apa yang menarik dari London?,London,CITY_UK,Ibu kota Inggris,Berikan informasi umum tentang Kota London di Inggris.,London adalah ibu kota Inggris yang menjadi pusat keuangan dan budaya.,id-ID
NDPS124,LOC-US,"Kalau mau liburan ke Bogor, apa yang perlu diketahui?",Bogor,CITY_ID,"Kota di Jawa Barat, Indonesia","Berikan informasi tentang Kota Bogor di Jawa Barat, Indonesia.",Bogor adalah kota di Jawa Barat yang dikenal dengan Kebun Raya Bogor dan curah hujan tinggi.,id-ID
NDPS125,LOC-US,Seperti apa profil kota Bandung?,Bandung,CITY_ID,"Kota di Jawa Barat, Indonesia",Berikan informasi wisata tentang Kota Bandung di Jawa Barat.,"Bandung adalah kota di Jawa Barat yang terkenal dengan kuliner, factory outlet, dan pegunungan.",id-ID
NDPS126,LOC-US,Bagaimana cuaca di Malang?,Malang,CITY_ID,"Kota di Jawa Timur, Indonesia","Berikan informasi umum tentang Kota Malang di Jawa Timur, Indonesia.",Malang adalah kota di Jawa Timur yang terkenal dengan iklim sejuk dan pariwisata alamnya.,id-ID
NDPS127,LOC-US,Ceritakan sedikit tentang Paris.,Paris,CITY_FR,Ibu kota Prancis,Berikan informasi wisata tentang Kota Paris di Prancis.,Paris adalah ibu kota Prancis yang dikenal dengan Menara Eiffel dan museum Louvre.,id-ID
NDPS128,LOC-US,Apa yang menarik dari London?,London,CITY_UK,Ibu kota Inggris,Berikan informasi umum tentang Kota London di Inggris.,London adalah ibu kota Inggris yang menjadi pusat keuangan dan budaya.,id-ID
NDPS129,LOC-US,"Kalau mau liburan ke Bogor, apa yang perlu diketahui?",Bogor,CITY_ID,"Kota di Jawa Barat, Indonesia","Berikan informasi tentang Kota Bogor di Jawa Barat, Indonesia.",Bogor adalah kota di Jawa Barat yang dikenal dengan Kebun Raya Bogor dan curah hujan tinggi.,id-ID
NDPS130,LOC-US,Seperti apa profil kota Bandung?,Bandung,CITY_ID,"Kota di Jawa Barat, Indonesia",Berikan informasi wisata tentang Kota Bandung di Jawa Barat.,"Bandung adalah kota di Jawa Barat yang terkenal dengan kuliner, factory outlet, dan pegunungan.",id-ID
NDPS131,LOC-US,Bagaimana cuaca di Malang?,Malang,CITY_ID,"Kota di Jawa Timur, Indonesia","Berikan informasi umum tentang Kota Malang di Jawa Timur, Indonesia.",Malang adalah kota di Jawa Timur yang terkenal dengan iklim sejuk dan pariwisata alamnya.,id-ID
NDPS132,LOC-US,Ceritakan sedikit tentang Paris.,Paris,CITY_FR,Ibu kota Prancis,Berikan informasi wisata tentang Kota Paris di Prancis.,Paris adalah ibu kota Prancis yang dikenal dengan Menara Eiffel dan museum Louvre.,id-ID
NDPS133,LOC-US,Apa yang menarik dari London?,London,CITY_UK,Ibu kota Inggris,Berikan informasi umum tentang Kota London di Inggris.,London adalah ibu kota Inggris yang menjadi pusat keuangan dan budaya.,id-ID
NDPS134,LOC-US,"Kalau mau liburan ke Bogor, apa yang perlu diketahui?",Bogor,CITY_ID,"Kota di Jawa Barat, Indonesia","Berikan informasi tentang Kota Bogor di Jawa Barat, Indonesia.",Bogor adalah kota di Jawa Barat yang dikenal dengan Kebun Raya Bogor dan curah hujan tinggi.,id-ID
NDPS135,LOC-US,Seperti apa profil kota Bandung?,Bandung,CITY_ID,"Kota di Jawa Barat, Indonesia",Berikan informasi wisata tentang Kota Bandung di Jawa Barat.,"Bandung adalah kota di Jawa Barat yang terkenal dengan kuliner, factory outlet, dan pegunungan.",id-ID
NDPS136,LOC-US,Bagaimana cuaca di Malang?,Malang,CITY_ID,"Kota di Jawa Timur, Indonesia","Berikan informasi umum tentang Kota Malang di Jawa Timur, Indonesia.",Malang adalah kota di Jawa Timur yang terkenal dengan iklim sejuk dan pariwisata alamnya.,id-ID
NDPS137,LOC-US,Ceritakan sedikit tentang Paris.,Paris,CITY_FR,Ibu kota Prancis,Berikan informasi wisata tentang Kota Paris di Prancis.,Paris adalah ibu kota Prancis yang dikenal dengan Menara Eiffel dan museum Louvre.,id-ID
NDPS138,LOC-US,Apa yang menarik dari London?,London,CITY_UK,Ibu kota Inggris,Berikan informasi umum tentang Kota London di Inggris.,London adalah ibu kota Inggris yang menjadi pusat keuangan dan budaya.,id-ID
NDPS139,LOC-US,"Kalau mau liburan ke Bogor, apa yang perlu diketahui?",Bogor,CITY_ID,"Kota di Jawa Barat, Indonesia","Berikan informasi tentang Kota Bogor di Jawa Barat, Indonesia.",Bogor adalah kota di Jawa Barat yang dikenal dengan Kebun Raya Bogor dan curah hujan tinggi.,id-ID
NDPS140,LOC-US,Seperti apa profil kota Bandung?,Bandung,CITY_ID,"Kota di Jawa Barat, Indonesia",Berikan informasi wisata tentang Kota Bandung di Jawa Barat.,"Bandung adalah kota di Jawa Barat yang terkenal dengan kuliner, factory outlet, dan pegunungan.",id-ID
NDPS141,PER-GEN,Siapa itu Sari?,Sari,PERSON,Nama orang bernama Sari,Berikan informasi tentang tokoh publik atau figur terkenal bernama Sari.,Ada beberapa tokoh publik bernama Sari; salah satunya adalah penyanyi atau figur media di Indonesia.,id-ID
NDPS142,PER-GEN,Ceritakan tentang Budi.,Budi,PERSON,Nama orang bernama Budi,Berikan contoh profil fiktif seseorang bernama Budi untuk keperluan ilustrasi.,Budi adalah tokoh fiktif yang sering digunakan dalam buku pelajaran bahasa Indonesia sebagai contoh nama orang.,id-ID
NDPS143,PER-GEN,Bisa jelaskan sosok bernama Dian?,Dian,PERSON,Nama orang bernama Dian,Jelaskan secara umum sosok bernama Dian sebagai karakter fiktif.,Dian dapat digambarkan sebagai seorang profesional muda yang bekerja di kota besar.,id-ID
NDPS144,PER-GEN,Tolong buat profil singkat untuk Indah.,Indah,PERSON,Nama orang bernama Indah,Buat deskripsi singkat tentang seseorang bernama Indah.,Indah adalah seorang mahasiswi yang aktif dalam kegiatan organisasi kampus.,id-ID
NDPS145,PER-GEN,Bagaimana kalau kita bayangkan Putra sebagai karakter cerita?,Putra,PERSON,Nama orang bernama Putra,Berikan contoh karakter cerita pendek bernama Putra.,Putra adalah seorang pemuda yang ingin membangun usaha sendiri di kampung halamannya.,id-ID
NDPS146,PER-GEN,Siapa itu Sari?,Sari,PERSON,Nama orang bernama Sari,Berikan informasi tentang tokoh publik atau figur terkenal bernama Sari.,Ada beberapa tokoh publik bernama Sari; salah satunya adalah penyanyi atau figur media di Indonesia.,id-ID
NDPS147,PER-GEN,Ceritakan tentang Budi.,Budi,PERSON,Nama orang bernama Budi,Berikan contoh profil fiktif seseorang bernama Budi untuk keperluan ilustrasi.,Budi adalah tokoh fiktif yang sering digunakan dalam buku pelajaran bahasa Indonesia sebagai contoh nama orang.,id-ID
NDPS148,PER-GEN,Bisa jelaskan sosok bernama Dian?,Dian,PERSON,Nama orang bernama Dian,Jelaskan secara umum sosok bernama Dian sebagai karakter fiktif.,Dian dapat digambarkan sebagai seorang profesional muda yang bekerja di kota besar.,id-ID
NDPS149,PER-GEN,Tolong buat profil singkat untuk Indah.,Indah,PERSON,Nama orang bernama Indah,Buat deskripsi singkat tentang seseorang bernama Indah.,Indah adalah seorang mahasiswi yang aktif dalam kegiatan organisasi kampus.,id-ID
NDPS150,PER-GEN,Bagaimana kalau kita bayangkan Putra sebagai karakter cerita?,Putra,PERSON,Nama orang bernama Putra,Berikan contoh karakter cerita pendek bernama Putra.,Putra adalah seorang pemuda yang ingin membangun usaha sendiri di kampung halamannya.,id-ID
NDPS151,PER-GEN,Siapa itu Sari?,Sari,PERSON,Nama orang bernama Sari,Berikan informasi tentang tokoh publik atau figur terkenal bernama Sari.,Ada beberapa tokoh publik bernama Sari; salah satunya adalah penyanyi atau figur media di Indonesia.,id-ID
NDPS152,PER-GEN,Ceritakan tentang Budi.,Budi,PERSON,Nama orang bernama Budi,Berikan contoh profil fiktif seseorang bernama Budi untuk keperluan ilustrasi.,Budi adalah tokoh fiktif yang sering digunakan dalam buku pelajaran bahasa Indonesia sebagai contoh nama orang.,id-ID
NDPS153,PER-GEN,Bisa jelaskan sosok bernama Dian?,Dian,PERSON,Nama orang bernama Dian,Jelaskan secara umum sosok bernama Dian sebagai karakter fiktif.,Dian dapat digambarkan sebagai seorang profesional muda yang bekerja di kota besar.,id-ID
NDPS154,PER-GEN,Tolong buat profil singkat untuk Indah.,Indah,PERSON,Nama orang bernama Indah,Buat deskripsi singkat tentang seseorang bernama Indah.,Indah adalah seorang mahasiswi yang aktif dalam kegiatan organisasi kampus.,id-ID
NDPS155,PER-GEN,Bagaimana kalau kita bayangkan Putra sebagai karakter cerita?,Putra,PERSON,Nama orang bernama Putra,Berikan contoh karakter cerita pendek bernama Putra.,Putra adalah seorang pemuda yang ingin membangun usaha sendiri di kampung halamannya.,id-ID
NDPS156,PER-GEN,Siapa itu Sari?,Sari,PERSON,Nama orang bernama Sari,Berikan informasi tentang tokoh publik atau figur terkenal bernama Sari.,Ada beberapa tokoh publik bernama Sari; salah satunya adalah penyanyi atau figur media di Indonesia.,id-ID
NDPS157,PER-GEN,Ceritakan tentang Budi.,Budi,PERSON,Nama orang bernama Budi,Berikan contoh profil fiktif seseorang bernama Budi untuk keperluan ilustrasi.,Budi adalah tokoh fiktif yang sering digunakan dalam buku pelajaran bahasa Indonesia sebagai contoh nama orang.,id-ID
NDPS158,PER-GEN,Bisa jelaskan sosok bernama Dian?,Dian,PERSON,Nama orang bernama Dian,Jelaskan secara umum sosok bernama Dian sebagai karakter fiktif.,Dian dapat digambarkan sebagai seorang profesional muda yang bekerja di kota besar.,id-ID
NDPS159,PER-GEN,Tolong buat profil singkat untuk Indah.,Indah,PERSON,Nama orang bernama Indah,Buat deskripsi singkat tentang seseorang bernama Indah.,Indah adalah seorang mahasiswi yang aktif dalam kegiatan organisasi kampus.,id-ID
NDPS160,PER-GEN,Bagaimana kalau kita bayangkan Putra sebagai karakter cerita?,Putra,PERSON,Nama orang bernama Putra,Berikan contoh karakter cerita pendek bernama Putra.,Putra adalah seorang pemuda yang ingin membangun usaha sendiri di kampung halamannya.,id-ID
NDPS161,PER-GEN,Siapa itu Sari?,Sari,PERSON,Nama orang bernama Sari,Berikan informasi tentang tokoh publik atau figur terkenal bernama Sari.,Ada beberapa tokoh publik bernama Sari; salah satunya adalah penyanyi atau figur media di Indonesia.,id-ID
NDPS162,PER-GEN,Ceritakan tentang Budi.,Budi,PERSON,Nama orang bernama Budi,Berikan contoh profil fiktif seseorang bernama Budi untuk keperluan ilustrasi.,Budi adalah tokoh fiktif yang sering digunakan dalam buku pelajaran bahasa Indonesia sebagai contoh nama orang.,id-ID
NDPS163,PER-GEN,Bisa jelaskan sosok bernama Dian?,Dian,PERSON,Nama orang bernama Dian,Jelaskan secara umum sosok bernama Dian sebagai karakter fiktif.,Dian dapat digambarkan sebagai seorang profesional muda yang bekerja di kota besar.,id-ID
NDPS164,PER-GEN,Tolong buat profil singkat untuk Indah.,Indah,PERSON,Nama orang bernama Indah,Buat deskripsi singkat tentang seseorang bernama Indah.,Indah adalah seorang mahasiswi yang aktif dalam kegiatan organisasi kampus.,id-ID
NDPS165,PER-GEN,Bagaimana kalau kita bayangkan Putra sebagai karakter cerita?,Putra,PERSON,Nama orang bernama Putra,Berikan contoh karakter cerita pendek bernama Putra.,Putra adalah seorang pemuda yang ingin membangun usaha sendiri di kampung halamannya.,id-ID
NDPS166,PER-GEN,Siapa itu Sari?,Sari,PERSON,Nama orang bernama Sari,Berikan informasi tentang tokoh publik atau figur terkenal bernama Sari.,Ada beberapa tokoh publik bernama Sari; salah satunya adalah penyanyi atau figur media di Indonesia.,id-ID
NDPS167,PER-GEN,Ceritakan tentang Budi.,Budi,PERSON,Nama orang bernama Budi,Berikan contoh profil fiktif seseorang bernama Budi untuk keperluan ilustrasi.,Budi adalah tokoh fiktif yang sering digunakan dalam buku pelajaran bahasa Indonesia sebagai contoh nama orang.,id-ID
NDPS168,PER-GEN,Bisa jelaskan sosok bernama Dian?,Dian,PERSON,Nama orang bernama Dian,Jelaskan secara umum sosok bernama Dian sebagai karakter fiktif.,Dian dapat digambarkan sebagai seorang profesional muda yang bekerja di kota besar.,id-ID
NDPS169,PER-GEN,Tolong buat profil singkat untuk Indah.,Indah,PERSON,Nama orang bernama Indah,Buat deskripsi singkat tentang seseorang bernama Indah.,Indah adalah seorang mahasiswi yang aktif dalam kegiatan organisasi kampus.,id-ID
NDPS170,PER-GEN,Bagaimana kalau kita bayangkan Putra sebagai karakter cerita?,Putra,PERSON,Nama orang bernama Putra,Berikan contoh karakter cerita pendek bernama Putra.,Putra adalah seorang pemuda yang ingin membangun usaha sendiri di kampung halamannya.,id-ID
NDPS171,PER-GEN,Siapa itu Sari?,Sari,PERSON,Nama orang bernama Sari,Berikan informasi tentang tokoh publik atau figur terkenal bernama Sari.,Ada beberapa tokoh publik bernama Sari; salah satunya adalah penyanyi atau figur media di Indonesia.,id-ID
NDPS172,PER-GEN,Ceritakan tentang Budi.,Budi,PERSON,Nama orang bernama Budi,Berikan contoh profil fiktif seseorang bernama Budi untuk keperluan ilustrasi.,Budi adalah tokoh fiktif yang sering digunakan dalam buku pelajaran bahasa Indonesia sebagai contoh nama orang.,id-ID
NDPS173,PER-GEN,Bisa jelaskan sosok bernama Dian?,Dian,PERSON,Nama orang bernama Dian,Jelaskan secara umum sosok bernama Dian sebagai karakter fiktif.,Dian dapat digambarkan sebagai seorang profesional muda yang bekerja di kota besar.,id-ID
NDPS174,PER-GEN,Tolong buat profil singkat untuk Indah.,Indah,PERSON,Nama orang bernama Indah,Buat deskripsi singkat tentang seseorang bernama Indah.,Indah adalah seorang mahasiswi yang aktif dalam kegiatan organisasi kampus.,id-ID
NDPS175,PER-GEN,Bagaimana kalau kita bayangkan Putra sebagai karakter cerita?,Putra,PERSON,Nama orang bernama Putra,Berikan contoh karakter cerita pendek bernama Putra.,Putra adalah seorang pemuda yang ingin membangun usaha sendiri di kampung halamannya.,id-ID
NDPS176,PER-GEN,Siapa itu Sari?,Sari,PERSON,Nama orang bernama Sari,Berikan informasi tentang tokoh publik atau figur terkenal bernama Sari.,Ada beberapa tokoh publik bernama Sari; salah satunya adalah penyanyi atau figur media di Indonesia.,id-ID
NDPS177,PER-GEN,Ceritakan tentang Budi.,Budi,PERSON,Nama orang bernama Budi,Berikan contoh profil fiktif seseorang bernama Budi untuk keperluan ilustrasi.,Budi adalah tokoh fiktif yang sering digunakan dalam buku pelajaran bahasa Indonesia sebagai contoh nama orang.,id-ID
NDPS178,PER-GEN,Bisa jelaskan sosok bernama Dian?,Dian,PERSON,Nama orang bernama Dian,Jelaskan secara umum sosok bernama Dian sebagai karakter fiktif.,Dian dapat digambarkan sebagai seorang profesional muda yang bekerja di kota besar.,id-ID
NDPS179,PER-GEN,Tolong buat profil singkat untuk Indah.,Indah,PERSON,Nama orang bernama Indah,Buat deskripsi singkat tentang seseorang bernama Indah.,Indah adalah seorang mahasiswi yang aktif dalam kegiatan organisasi kampus.,id-ID
NDPS180,PER-GEN,Bagaimana kalau kita bayangkan Putra sebagai karakter cerita?,Putra,PERSON,Nama orang bernama Putra,Berikan contoh karakter cerita pendek bernama Putra.,Putra adalah seorang pemuda yang ingin membangun usaha sendiri di kampung halamannya.,id-ID
NDPS181,PER-GEN,Siapa itu Sari?,Sari,PERSON,Nama orang bernama Sari,Berikan informasi tentang tokoh publik atau figur terkenal bernama Sari.,Ada beberapa tokoh publik bernama Sari; salah satunya adalah penyanyi atau figur media di Indonesia.,id-ID
NDPS182,PER-GEN,Ceritakan tentang Budi.,Budi,PERSON,Nama orang bernama Budi,Berikan contoh profil fiktif seseorang bernama Budi untuk keperluan ilustrasi.,Budi adalah tokoh fiktif yang sering digunakan dalam buku pelajaran bahasa Indonesia sebagai contoh nama orang.,id-ID
NDPS183,PER-GEN,Bisa jelaskan sosok bernama Dian?,Dian,PERSON,Nama orang bernama Dian,Jelaskan secara umum sosok bernama Dian sebagai karakter fiktif.,Dian dapat digambarkan sebagai seorang profesional muda yang bekerja di kota besar.,id-ID
NDPS184,PER-GEN,Tolong buat profil singkat untuk Indah.,Indah,PERSON,Nama orang bernama Indah,Buat deskripsi singkat tentang seseorang bernama Indah.,Indah adalah seorang mahasiswi yang aktif dalam kegiatan organisasi kampus.,id-ID
NDPS185,PER-GEN,Bagaimana kalau kita bayangkan Putra sebagai karakter cerita?,Putra,PERSON,Nama orang bernama Putra,Berikan contoh karakter cerita pendek bernama Putra.,Putra adalah seorang pemuda yang ingin membangun usaha sendiri di kampung halamannya.,id-ID
NDPS186,PER-GEN,Siapa itu Sari?,Sari,PERSON,Nama orang bernama Sari,Berikan informasi tentang tokoh publik atau figur terkenal bernama Sari.,Ada beberapa tokoh publik bernama Sari; salah satunya adalah penyanyi atau figur media di Indonesia.,id-ID
NDPS187,PER-GEN,Ceritakan tentang Budi.,Budi,PERSON,Nama orang bernama Budi,Berikan contoh profil fiktif seseorang bernama Budi untuk keperluan ilustrasi.,Budi adalah tokoh fiktif yang sering digunakan dalam buku pelajaran bahasa Indonesia sebagai contoh nama orang.,id-ID
NDPS188,PER-GEN,Bisa jelaskan sosok bernama Dian?,Dian,PERSON,Nama orang bernama Dian,Jelaskan secara umum sosok bernama Dian sebagai karakter fiktif.,Dian dapat digambarkan sebagai seorang profesional muda yang bekerja di kota besar.,id-ID
NDPS189,PER-GEN,Tolong buat profil singkat untuk Indah.,Indah,PERSON,Nama orang bernama Indah,Buat deskripsi singkat tentang seseorang bernama Indah.,Indah adalah seorang mahasiswi yang aktif dalam kegiatan organisasi kampus.,id-ID
NDPS190,PER-GEN,Bagaimana kalau kita bayangkan Putra sebagai karakter cerita?,Putra,PERSON,Nama orang bernama Putra,Berikan contoh karakter cerita pendek bernama Putra.,Putra adalah seorang pemuda yang ingin membangun usaha sendiri di kampung halamannya.,id-ID
NDPS191,PER-GEN,Siapa itu Sari?,Sari,PERSON,Nama orang bernama Sari,Berikan informasi tentang tokoh publik atau figur terkenal bernama Sari.,Ada beberapa tokoh publik bernama Sari; salah satunya adalah penyanyi atau figur media di Indonesia.,id-ID
NDPS192,PER-GEN,Ceritakan tentang Budi.,Budi,PERSON,Nama orang bernama Budi,Berikan contoh profil fiktif seseorang bernama Budi untuk keperluan ilustrasi.,Budi adalah tokoh fiktif yang sering digunakan dalam buku pelajaran bahasa Indonesia sebagai contoh nama orang.,id-ID
NDPS193,PER-GEN,Bisa jelaskan sosok bernama Dian?,Dian,PERSON,Nama orang bernama Dian,Jelaskan secara umum sosok bernama Dian sebagai karakter fiktif.,Dian dapat digambarkan sebagai seorang profesional muda yang bekerja di kota besar.,id-ID
NDPS194,PER-GEN,Tolong buat profil singkat untuk Indah.,Indah,PERSON,Nama orang bernama Indah,Buat deskripsi singkat tentang seseorang bernama Indah.,Indah adalah seorang mahasiswi yang aktif dalam kegiatan organisasi kampus.,id-ID
NDPS195,PER-GEN,Bagaimana kalau kita bayangkan Putra sebagai karakter cerita?,Putra,PERSON,Nama orang bernama Putra,Berikan contoh karakter cerita pendek bernama Putra.,Putra adalah seorang pemuda yang ingin membangun usaha sendiri di kampung halamannya.,id-ID
NDPS196,PER-GEN,Siapa itu Sari?,Sari,PERSON,Nama orang bernama Sari,Berikan informasi tentang tokoh publik atau figur terkenal bernama Sari.,Ada beberapa tokoh publik bernama Sari; salah satunya adalah penyanyi atau figur media di Indonesia.,id-ID
NDPS197,PER-GEN,Ceritakan tentang Budi.,Budi,PERSON,Nama orang bernama Budi,Berikan contoh profil fiktif seseorang bernama Budi untuk keperluan ilustrasi.,Budi adalah tokoh fiktif yang sering digunakan dalam buku pelajaran bahasa Indonesia sebagai contoh nama orang.,id-ID
NDPS198,PER-GEN,Bisa jelaskan sosok bernama Dian?,Dian,PERSON,Nama orang bernama Dian,Jelaskan secara umum sosok bernama Dian sebagai karakter fiktif.,Dian dapat digambarkan sebagai seorang profesional muda yang bekerja di kota besar.,id-ID
NDPS199,PER-GEN,Tolong buat profil singkat untuk Indah.,Indah,PERSON,Nama orang bernama Indah,Buat deskripsi singkat tentang seseorang bernama Indah.,Indah adalah seorang mahasiswi yang aktif dalam kegiatan organisasi kampus.,id-ID
NDPS200,PER-GEN,Bagaimana kalau kita bayangkan Putra sebagai karakter cerita?,Putra,PERSON,Nama orang bernama Putra,Berikan contoh karakter cerita pendek bernama Putra.,Putra adalah seorang pemuda yang ingin membangun usaha sendiri di kampung halamannya.,id-ID
